NAME	StromalScore	ImmuneScore	ESTIMATEScore
LU5168P1	-2761.154728	-1110.367257	-3871.521985
ME11981P0	-1892.720956	-859.8812435	-2752.6022
LU5177P1	-3247.271948	-2224.380161	-5471.652109
CR9238P4	-3053.397018	-1017.518778	-4070.915796
BR1115P4	-2910.261874	-1642.359697	-4552.621571
CC6625P8	-2839.862595	-1007.206618	-3847.069212
OV9427P4	-2776.549279	-1695.039897	-4471.589176
SA10157P0	-938.7810488	-170.8457129	-1109.626762
PA1252P4	-2713.497964	-643.3633425	-3356.861306
GA3155P3	-2904.111029	-1396.958674	-4301.069702
SA4153P3	-480.7647265	-1466.437752	-1947.202479
CR1305P6	-3117.833592	-1319.872341	-4437.705933
LU5209P1	-2975.455498	-1506.991553	-4482.44705
LU9337P2	-2509.462537	-627.2007892	-3136.663327
CR3592P5	-3049.115161	-1182.185176	-4231.300337
ME12135P4	-2707.321934	-1526.355118	-4233.677052
LU0743P5	-2919.423759	-1741.033195	-4660.456954
PA5415P1	-3026.544335	-885.3605919	-3911.904927
HN3388P9	-2557.475933	-1083.906758	-3641.382691
BN0769P6	-2087.149527	-840.5511134	-2927.700641
ME12024P0	-2141.624677	-1661.08962	-3802.714297
CR5031P1	-2658.273817	-1054.885306	-3713.159123
ME12144P2	-2121.190637	-1176.752378	-3297.943015
CR6224P5	-3127.238672	-1087.603287	-4214.841958
OV9428P3	-2656.624317	-1514.688716	-4171.313033
LI9320P4	-2917.865675	-846.6880338	-3764.553709
GS5107P1	-998.0758239	-1207.741408	-2205.817232
BR10607P2	-2908.786207	-1246.657367	-4155.443574
CR6924P7	-3010.03767	-1026.401682	-4036.439353
BR10027P0	-2549.07416	-1204.735299	-3753.809458
SA10151P0	-1430.262604	-1495.287607	-2925.550211
HN5118P1	-2364.176624	-879.9020999	-3244.078724
LU1271P5	-2550.446754	-901.4820563	-3451.928811
ME12168P1	-2191.223643	-1537.501689	-3728.725332
ES6824P7	-3014.474485	-1184.212856	-4198.687341
BR10593P0	-1810.517081	-1469.200259	-3279.71734
SA10135P0	-102.1340507	-1442.600327	-1544.734378
LU6424P12	-2827.209878	-1100.867143	-3928.077021
SA3839P4	-510.4723341	-1214.115592	-1724.587926
CR6225P4	-2991.728273	-1282.74257	-4274.470843
LU0858P6	-3045.296938	-727.7901547	-3773.087092
ES2116P4	-3078.916678	-1243.929936	-4322.846613
CR5077P1	-2626.570434	-1135.862777	-3762.433211
CR6219P3	-3043.476854	-1227.290732	-4270.767587
CR3101P6	-2894.104725	-413.7957407	-3307.900466
ME12148P1	-1907.234995	-1543.005166	-3450.240161
ES0159P5	-2542.744433	-1017.521514	-3560.265948
CR14912P1	-2922.06701	-876.995317	-3799.062327
ME1154P4	-2280.496589	-1012.193946	-3292.690535
ME5282P0	-1651.693304	-1523.814211	-3175.507515
KI2407P6	-1760.264176	-722.8065579	-2483.070734
LU11644P0	-2447.210708	-1332.784408	-3779.995116
ES11072P0	-2467.901092	-1803.675823	-4271.576915
ME12120P3	-1978.361272	-1345.80259	-3324.163862
