NAME	StromalScore	ImmuneScore	ESTIMATEScore
LI6710P7	-445.6043563	238.7176965	-206.8866598
LI1025P5	-1220.941193	-775.4258529	-1996.367046
BN4030P2	-1835.147024	-1036.311453	-2871.458478
GA6869P7	-406.562074	-132.6971841	-539.259258
PA1644P6	-151.3029426	45.72312757	-105.5798151
GL1208P8	10.75257573	620.1566494	630.9092251
CR1305P6	-1557.182537	-661.3966101	-2218.579147
LI6692P7	-2136.811147	-1637.172591	-3773.983738
OV5391P0	-626.4870153	343.2656211	-283.2213943
BR9466P8	-1138.427465	-782.9971379	-1921.424603
GA0138P4	-1669.094527	-1339.383468	-3008.477995
BN9222P5	59.53314158	-600.7647704	-541.2316289
PA1266P5	334.3609996	514.8124455	849.1734451
ME12134P0	-855.1670491	-334.58684	-1189.753889
OV0273P5	-1045.84025	-572.3126884	-1618.152938
LU6436P5	-149.3996751	360.6390623	211.2393872
HN3456P2	152.4196577	1634.482285	1786.901942
KI0551P6	-458.9667588	-38.99236536	-497.9591241
CR0126P9	243.71687	598.0607904	841.7776604
SA10141P0	-175.6605203	-552.6485105	-728.3090308
CR2531P4	-836.91632	-313.3803394	-1150.296659
LU6307P4	-679.4100292	-298.26741	-977.6774392
PA3006P7	-995.8158241	398.6119268	-597.2038973
LU1480P3	-2365.372329	-1869.011209	-4234.383538
KI9307P5	-23.25350797	153.728954	130.475446
CR2665P5	-643.6950669	167.2471515	-476.4479154
LU9328P3	-898.4448673	-413.361414	-1311.806281
HN5124P1	-1391.69608	-55.96101767	-1447.657098
HN3776P8	-892.6370903	-325.8508462	-1218.487936
HN2615P4	-1194.206169	-306.1438537	-1500.350023
GA6239P5	-1782.564173	-446.1043777	-2228.668551
LU11685P0	-397.9560617	183.3397276	-214.6163341
KI11421P5	446.312467	488.4159711	934.7284381
ES3862P4	-1640.793967	-1026.160839	-2666.954806
LU6431P4	-1123.712491	-600.9321472	-1724.644638
UT3705P6	-471.7938689	-7.385400878	-479.1792698
ME12088P1	-1258.186503	-1212.634308	-2470.820811
LU9333P4	-834.6854522	-336.3190038	-1171.004456
SA10166P0	335.2588413	-44.61707587	290.6417654
LI1098P6	-762.4263639	409.8021199	-352.6242441
LU5155P3	-748.4301786	27.71931412	-720.7108644
