TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
GA6211-R8P5-20200805-R-11524-20200929,24.67,GA6211,NOD/SCID;,GA6211,GA,75.33
BR1282-R13P6-20190620-R-22437-20200915,19.34,BR1282,NOD/SCID;,BR1282,BR,80.66
OV2026-R4P4-50224-202009022,12.72,OV2026,NOD/SCID;,OV2026,OV,87.28
BR5009-R2P3-20151229-87774-20201020,30.93,BR5009,NOD/SCID;,BR5009,BR,69.07
LU6415-R7P8-32601,3.97,LU6415,NOD/SCID;,LU6415,LU,96.03
LY2301-R13P2-23378,35.43,LY2301,NOD/SCID;,LY2301,LY,64.57
HN3411-R6P3-50439-20201013,19.35,HN3411,NOD/SCID;,HN3411,HN,80.65
ME14006-R2P4-20200512-47134,7.49,ME14006,NOD/SCID;,ME14006,ME,92.51
PE16566-R1P0-96145-20200908,14.87,PE16566,NOD/SCID;,PE16566,PE,85.13
PR6512-R2P8-96666,62.94,PR6512,NOD/SCID;,PR6512,PR,37.06
BR0438-R14P4-22498,17.03,BR0438,NOD/SCID;,BR0438,BR,82.97
GA0151-R15P3-90937,44.45,GA0151,NOD/SCID;,GA0151,GA,55.55
ME9367-R1P2-20180402-48771-20201027,12.05,ME9367,NOD/SCID;,ME9367,ME,87.95
LU1868-R15P2-95912,25.98,LU1868,NOD/SCID;,LU1868,LU,74.02
SA4058-R1P3-20170913-41211,6.93,SA4058,NOD/SCID;,SA4058,SA,93.07
LI6675-R5P4-95432,19.19,LI6675,NOD/SCID;,LI6675,LI,80.81
ME9367-R2P4-20200702-45768,7.04,ME9367,NOD/SCID;,ME9367,ME,92.96
CR3808-R1P1-14430,16.04,CR3808,NOD/SCID;,CR3808,CR,83.96
BL3578-R2P6-57148,35.69,BL3578,NOD/SCID;,BL3578,BL,64.31
PE17447-R1P0-96196-20201013,7.24,PE17447,NOD/SCID;,PE17447,PE,92.76
PA6228-P3-20200608-XO0902,1.23,PA6228,NOD/SCID;,PA6228,PA,98.77
BL5002-R2P7-43125-RF,4.98,BL5002,NOD/SCID;,BL5002,BL,95.02
BR1282-R13P6-22438,20.42,BR1282,NOD/SCID;,BR1282,BR,79.58
GA0025-R14P6-24418,25.92,GA0025,NOD/SCID;,GA0025,GA,74.08
SA4106-R1P2-47751-RF,7.29,SA4106,NOD/SCID;,SA4106,SA,92.71
PA3013-R8P4-31902,31.56,PA3013,NOD/SCID;,PA3013,PA,68.44
CR15701-R1P0-17047-RF,17.61,CR15701,NOD/SCID;,CR15701,CR,82.39
CR6251-R5P5-20191126-R-36083,11.42,CR6251,NOD/SCID;,CR6251,CR,88.58
ES3859-R1P4-37,24.52,ES3859,NOD/SCID;,ES3859,ES,75.48
ES3863-R1P2-23912,25.73,ES3863,NOD/SCID;,ES3863,ES,74.27
SA13302-R1P1-82420-RF,28.29,SA13302,NOD/SCID;,SA13302,SA,71.71
CR9259-R1P2-45857-RF,5.81,CR9259,NOD/SCID;,CR9259,CR,94.19
SA13271-R1P1-83222-RF,2.53,SA13271,NOD/SCID;,SA13271,SA,97.47
SA16044-R2P4-32822,3.79,SA16044,NOD/SCID;,SA16044,SA,96.21
BR1374-R4P3-14638,14.73,BR1374,NOD/SCID;,BR1374,BR,85.27
BR1374-R4P3-14640,18.7,BR1374,NOD/SCID;,BR1374,BR,81.3
PA9445-R1P4-11185-LB,30.83,PA9445,NOD/SCID;,PA9445,PA,69.17
ME9366-R1P3-12366-RF,12.32,ME9366,NOD/SCID;,ME9366,ME,87.68
LU5371-R1P2-20190306-26120,57.22,LU5371,NOD/SCID;,LU5371,LU,42.78
ME13982-R2P2-09147,8.4,ME13982,NOD/SCID;,ME13982,ME,91.6
ME13974-R2P3-33316,4.93,ME13974,NOD/SCID;,ME13974,ME,95.07
LU6477-R2P10-70256,53.02,LU6477,NOD/SCID;,LU6477,LU,46.98
SA4058-R1P2-39229,3.96,SA4058,NOD/SCID;,SA4058,SA,96.04
LI6660-R7P4-91901,7.36,LI6660,NOD/SCID;,LI6660,LI,92.64
BR9464-R1P8-89270,16.72,BR9464,NOD/SCID;,BR9464,BR,83.28
CR9263-R1P3-10981-LF,23.23,CR9263,NOD/SCID;,CR9263,CR,76.77
CR2565-R1P5-20160202-50198-20200908,8.74,CR2565,NOD/SCID;,CR2565,CR,91.26
CR2633-R2P9-72818-LF,13.77,CR2633,NOD/SCID;,CR2633,CR,86.23
SA3849-R4P3-31309,15.27,SA3849,NOD/SCID;,SA3849,SA,84.73
LY2345-P2-5807,15.28,LY2345,NOD/SCID;,LY2345,LY,84.72
PE17447-R1P3-55847-LF-20210706,4.75,PE17447,NOD/SCID;,PE17447,PE,95.25
CC6607-R1P6-20150520-10439-20200929,30.55,CC6607,NOD/SCID;,CC6607,CC,69.45
LU2455-R3P4-20200901-R-10665-20201013,12.16,LU2455,NOD/SCID;,LU2455,LU,87.84
AD4177-R1P1-20180920-16596-20201013,10.02,AD4177,NOD/SCID;,AD4177,AD,89.98
SA13233-R1P0-79125-RF,3.36,SA13233,NOD/SCID;,SA13233,SA,96.64
LU0876-R7P2-93610,36.12,LU0876,NOD/SCID;,LU0876,LU,63.88
PR6512-R2P8-98134-20201013,26.04,PR6512,NOD/SCID;,PR6512,PR,73.96
LU11606-R1P2-20170119-30920-20200915,9.5,LU11606,NOD/SCID;,LU11606,LU,90.5
LI6643-R4P6-20200220-42355-20200901,7.45,LI6643,NOD/SCID;,LI6643,LI,92.55
SA3840-R1P1-20151210-16499,5.12,SA3840,NOD/SCID;,SA3840,SA,94.88
PR6512-R2P7-94148,29.02,PR6512,NOD/SCID;,PR6512,PR,70.98
CR2559-R2P4-99406-20200818,9.47,CR2559,NOD/SCID;,CR2559,CR,90.53
CR6221-P8-20200520-XO0220,0.17,CR6221,NOD/SCID;,CR6221,CR,99.83
LU2051-R1P6-20160302-51340-20201013,33.5,LU2051,NOD/SCID;,LU2051,LU,66.5
CR11374-R1P3-20200414-44639,15.18,CR11374,NOD/SCID;,CR11374,CR,84.82
BR10556-R1P2-20201117-17149-20201222,2.77,BR10556,NOD/SCID;,BR10556,BR,97.23
CV10936-R1P0-99342-20200901,22.47,CV10936,NOD/SCID;,CV10936,CV,77.53
CR2559-R1P3-86524,8.95,CR2559,NOD/SCID;,CR2559,CR,91.05
CR6243-R9P3-92238,11.37,CR6243,NOD/SCID;,CR6243,CR,88.63
CR1554-R10P3-99617-20200811,20.39,CR1554,NOD/SCID;,CR1554,CR,79.61
LU9343-R2P5-20200723-12506-20200901,5.03,LU9343,NOD/SCID;,LU9343,LU,94.97
CR1560-R1P6-22036,22.8,CR1560,NOD/SCID;,CR1560,CR,77.2
PA1252-R6P3-20191211-35337,45.38,PA1252,NOD/SCID;,PA1252,PA,54.62
OV0243-R14P6-34668,7.56,OV0243,NOD/SCID;,OV0243,OV,92.44
ES2267-P2-20201020,12.78,ES2267,NOD/SCID;,ES2267,ES,87.22
CV10921-R1P1-51103-20201027,35.03,CV10921,NOD/SCID;,CV10921,CV,64.97
ME13982-R2P3-32596,2.75,ME13982,NOD/SCID;,ME13982,ME,97.25
OV9428-R1P3-13870-LF,9.9,OV9428,NOD/SCID;,OV9428,OV,90.1
LU6918-R6P6-20200603-R-47388,27.69,LU6918,NOD/SCID;,LU6918,LU,72.31
CR9243-R2P10-98331,10.88,CR9243,NOD/SCID;,CR9243,CR,89.12
GA9275-R1P3-10511-LF,31.29,GA9275,NOD/SCID;,GA9275,GA,68.71
LY3654-R2P2-13051,26.31,LY3654,NOD/SCID;,LY3654,LY,73.69
CR9251-R2P4-20200616-R-46995,14.47,CR9251,NOD/SCID;,CR9251,CR,85.53
CR6221-R6P3-32064,27.04,CR6221,NOD/SCID;,CR6221,CR,72.96
LU9343-R2P4-20200527-R-46183,5.42,LU9343,NOD/SCID;,LU9343,LU,94.58
ME9365-R1P6-14888-RB,5.5,ME9365,NOD/SCID;,ME9365,ME,94.5
SA4106-R1P0-1151,14.16,SA4106,NOD/SCID;,SA4106,SA,85.84
HN3690-R6P1-32018,24.14,HN3690,NOD/SCID;,HN3690,HN,75.86
LU11606-R1P3-64167,42.75,LU11606,NOD/SCID;,LU11606,LU,57.25
LU6920-R4P5-93593,17.3,LU6920,NOD/SCID;,LU6920,LU,82.7
ME13974-R2P2-23437,17.44,ME13974,NOD/SCID;,ME13974,ME,82.56
ES6463-R2P23-61970,11.25,ES6463,NOD/SCID;,ES6463,ES,88.75
HN2591-R1P4-51374,21.63,HN2591,NOD/SCID;,HN2591,HN,78.37
CV3560-R4P2-20191203-R-36318,23.57,CV3560,NOD/SCID;,CV3560,CV,76.43
PA1194-R9P6-27873,27.12,PA1194,NOD/SCID;,PA1194,PA,72.88
HN2603-R1P7-50753,33.89,HN2603,NOD/SCID;,HN2603,HN,66.11
HN3502-R1P2-13099,39.52,HN3502,NOD/SCID;,HN3502,HN,60.48
LY2345-R14P3-89587,20.49,LY2345,NOD/SCID;,LY2345,LY,79.51
AM5512-P7-SP-20190709A,22.32,AM5512,NOD/SCID;,AM5512,AM,77.68
CR2079-R3P5-22120,7.52,CR2079,NOD/SCID;,CR2079,CR,92.48
ES3889-R1P3-30915,17.47,ES3889,NOD/SCID;,ES3889,ES,82.53
CR1520-R16P4-48797,5.97,CR1520,NOD/SCID;,CR1520,CR,94.03
CR9243-R2P6-92727,8.25,CR9243,NOD/SCID;,CR9243,CR,91.75
SA4106-R1P4-19373-LF,20.42,SA4106,NOD/SCID;,SA4106,SA,79.58
CR3151-P11-24198,0.09,CR3151,NOD/SCID;,CR3151,CR,99.91
CR9251-R2P6-20200826-10422-20200929,15.27,CR9251,NOD/SCID;,CR9251,CR,84.73
CR9272-R1P1-20180201-R-46857-2018-3-15,12.28,CR9272,NOD/SCID;,CR9272,CR,87.72
BR9225-R2P5-20200813-11109-20200929,29.33,BR9225,NOD/SCID;,BR9225,BR,70.67
BR10688-R1P0-20200304-R-49810,12.65,BR10688,NOD/SCID;,BR10688,BR,87.35
LI2658-R2P4-93311,22.36,LI2658,NOD/SCID;,LI2658,LI,77.64
PE17447-R1P0-96196-20201013,8.25,PE17447,NOD/SCID;,PE17447,PE,91.75
AD4177-R1P2-20181023-18003-20201013,16.21,AD4177,NOD/SCID;,AD4177,AD,83.79
CR9239-R2P6-20200717-13094-20200825,17.45,CR9239,NOD/SCID;,CR9239,CR,82.55
CR9251-R2P5-20200730-12166-20200901,14.19,CR9251,NOD/SCID;,CR9251,CR,85.81
CR9251-R1P3-20180628-12667,14.03,CR9251,NOD/SCID;,CR9251,CR,85.97
CR9239-R1P4-20180411-49366-20200825,19.11,CR9239,NOD/SCID;,CR9239,CR,80.89
BN14976-R1P0-75375-RF,41.77,BN14976,NOD/SCID;,BN14976,BN,58.23
LU11956-R1P3-20200714-12965-20200922,63.25,LU11956,NOD/SCID;,LU11956,LU,36.75
SA4106-R2P4-20191031-38010,4.46,SA4106,NOD/SCID;,SA4106,SA,95.54
KI11421-R1P0-20200422-R-44270,54.29,KI11421,NOD/SCID;,KI11421,KI,45.71
AL5564-P1-SP-20190604D,3.12,AL5564,NOD/SCID;,AL5564,AL,96.88
PE13062-R1P0-20200701-R-13433-20201027,20.63,PE13062,NOD/SCID;,PE13062,PE,79.37
BN10385-R1P0-20190410-30821-20200915,8.3,BN10385,NOD/SCID;,BN10385,BN,91.7
PR9586-R1P1-95839,3.66,PR9586,NOD/SCID;,PR9586,PR,96.34
GA6825-R3P5-20171016-69776-20210511,13.15,GA6825,NOD/SCID;,GA6825,GA,86.85
ME9386-R1P2-20180418-49744-20201027,22.37,ME9386,NOD/SCID;,ME9386,ME,77.63
ME14003-R2P5-92937,7.17,ME14003,NOD/SCID;,ME14003,ME,92.83
CR3448-R4P3-45321,21.09,CR3448,NOD/SCID;,CR3448,CR,78.91
BN10385-R1P0-30823,3.66,BN10385,NOD/SCID;,BN10385,BN,96.34
LU6414-R2P7-50360-20200915,22.66,LU6414,NOD/SCID;,LU6414,LU,77.34
CR9251-R1P3-20180628-12667-20200901,22.46,CR9251,NOD/SCID;,CR9251,CR,77.54
PE16277-R1P0-96117-20200825,36.61,PE16277,NOD/SCID;,PE16277,PE,63.39
LI2658-R2P3-90903,15.46,LI2658,NOD/SCID;,LI2658,LI,84.54
BR9457-R1P8-88325-LB,8.86,BR9457,NOD/SCID;,BR9457,BR,91.14
BN14976-R2P1-91104,35.99,BN14976,NOD/SCID;,BN14976,BN,64.01
MC3066-P1-20200908,31.16,MC3066,NOD/SCID;,MC3066,MC,68.84
PE16299-R1P1-50929-20201027,21.83,PE16299,NOD/SCID;,PE16299,PE,78.17
BR9457-R1P7-87648-RB,5.14,BR9457,NOD/SCID;,BR9457,BR,94.86
AL5686-P2-47543-SP-20200624,12.44,AL5686,NOD/SCID;,AL5686,AL,87.56
LU6918-R5P7-20190612-R-22136-20201020,20.71,LU6918,NOD/SCID;,LU6918,LU,79.29
AL5564-P3-SP-20200324B,1.2,AL5564,NOD/SCID;,AL5564,AL,98.8
LI6643-R5P6-93677,6.36,LI6643,NOD/SCID;,LI6643,LI,93.64
CR9239-R1P4-20180411-R-49369,19.02,CR9239,NOD/SCID;,CR9239,CR,80.98
BN14976-R1P0-75372-RF,27.23,BN14976,NOD/SCID;,BN14976,BN,72.77
KI0783-R3P1-20200427-47758,30.61,KI0783,NOD/SCID;,KI0783,KI,69.39
LY9606-R1P1-47308-SP-20200714,5.4,LY9606,NOD/SCID;,LY9606,LY,94.6
CV10921-R1P0-97147-20200901,26.35,CV10921,NOD/SCID;,CV10921,CV,73.65
BR9225-R1P3-20180427-10860,25.05,BR9225,NOD/SCID;,BR9225,BR,74.95
CR9243-R2P6-92727,16.31,CR9243,NOD/SCID;,CR9243,CR,83.69
AL5564-P3-SP-20200324B-20R12880,0.52,AL5564,NOD/SCID;,AL5564,AL,99.48
PR9582-R1P4-51594-20201103,9.48,PR9582,NOD/SCID;,PR9582,PR,90.52
SA10941-R1P1-87661-RF,26.71,SA10941,NOD/SCID;,SA10941,SA,73.29
CR3448-R6P4-20191203-39363,16.52,CR3448,NOD/SCID;,CR3448,CR,83.48
CR9243-R1P5-16130,5.06,CR9243,NOD/SCID;,CR9243,CR,94.94
LY2264-R5P9-55,6.23,LY2264,NOD/SCID;,LY2264,LY,93.77
HN2581-R1P6-88399,18.11,HN2581,NOD/SCID;,HN2581,HN,81.89
AL5564-P4-SP-20200507A-2020-6-30-1,1.48,AL5564,NOD/SCID;,AL5564,AL,98.52
ES3886-R1P7-72869-20210518,10.1,ES3886,NOD/SCID;,ES3886,ES,89.9
GA2966-R1P2-96349-20201208,13.82,GA2966,NOD/SCID;,GA2966,GA,86.18
AL5564-P4-SP-20200507A-2020-6-24-1,2.65,AL5564,NOD/SCID;,AL5564,AL,97.35
CR9272-R2P3-20200709-13768-20200825,32.94,CR9272,NOD/SCID;,CR9272,CR,67.06
AL5564-P4-LI-20200507A-2020-6-24,18.26,AL5564,NOD/SCID;,AL5564,AL,81.74
BR10556-R1P0-20200723-R-12214-20201027,11.24,BR10556,NOD/SCID;,BR10556,BR,88.76
HN9293-R1P2-20180411-R-49325,21.01,HN9293,NOD/SCID;,HN9293,HN,78.99
AL5541-P5-LI-20191015C,3.37,AL5541,NOD/SCID;,AL5541,AL,96.63
BR9457-P6-88321-88322,6.52,BR9457,NOD/SCID;,BR9457,BR,93.48
AL5564-P4-LI-20200507A-2020-6-17,21.65,AL5564,NOD/SCID;,AL5564,AL,78.35
HN9293-R2P4-20200806-11125-20200922,11.78,HN9293,NOD/SCID;,HN9293,HN,88.22
CR15602-R1P0-20190417-21677,33.68,CR15602,NOD/SCID;,CR15602,CR,66.32
AM7133-P0-BM-20200211K-20200918,43.69,AM7133,NOD/SCID;,AM7133,AM,56.31
AL5564-P4-SP-20200507A-2020-6-19,4.38,AL5564,NOD/SCID;,AL5564,AL,95.62
CR9272-R1P1-20180201-45857-202008025,21.14,CR9272,NOD/SCID;,CR9272,CR,78.86
AL5564-P3-SP-20200324B-20R12865,12.88,AL5564,NOD/SCID;,AL5564,AL,87.12
AL5564-P1-SP-20190611J,4.92,AL5564,NOD/SCID;,AL5564,AL,95.08
AL5564-P0-20160704,24.77,AL5564,NOD/SCID;,AL5564,AL,75.23
AL5564-P4-SP-20200507A-41,2.24,AL5564,NOD/SCID;,AL5564,AL,97.76
AL5564-P1-SP-20190604D,1.87,AL5564,NOD/SCID;,AL5564,AL,98.13
PE16299-R1P0-94990-20200811,27.39,PE16299,NOD/SCID;,PE16299,PE,72.61
LU11956-R1P0-20191023-R-39826,20.59,LU11956,NOD/SCID;,LU11956,LU,79.41
AL5564-P4-LI-20200507A-2020-6-16,13.26,AL5564,NOD/SCID;,AL5564,AL,86.74
AL5564-P1-TU-20190604D,8.35,AL5564,NOD/SCID;,AL5564,AL,91.65
ME9387-R1P3-12444-RF,6.58,ME9387,NOD/SCID;,ME9387,ME,93.42
CR15700-R2P3-91160,18.19,CR15700,NOD/SCID;,CR15700,CR,81.81
LU11609-R1P0-20191030-38355-20200901,33.07,LU11609,NOD/SCID;,LU11609,LU,66.93
LU11956-R1P1-20200312-49503-20200915,16.08,LU11956,NOD/SCID;,LU11956,LU,83.92
SA13254-R1P0-20180711-12739-20200818,5.53,SA13254,NOD/SCID;,SA13254,SA,94.47
AL5564-P4-LI-20200507A-27,9.93,AL5564,NOD/SCID;,AL5564,AL,90.07
AL5564-P4-SP20200507A-26,1.8,AL5564,NOD/SCID;,AL5564,AL,98.2
CR9272-R2P2-20200526-41900,17.34,CR9272,NOD/SCID;,CR9272,CR,82.66
AL5564-P4-SP-20200507A-2020-6-17-1,3.34,AL5564,NOD/SCID;,AL5564,AL,96.66
AL5564-P4-LI-20200507A-42,12.49,AL5564,NOD/SCID;,AL5564,AL,87.51
AL5564-P1-SP-20190611J,5.5,AL5564,NOD/SCID;,AL5564,AL,94.5
PA0527-R12P4-57309-20210601,75.6,PA0527,NOD/SCID;,PA0527,PA,24.4
CR14939-R1P1-22330-RF,11.89,CR14939,NOD/SCID;,CR14939,CR,88.11
LY9596-P1-46279-SP-20200721,23.83,LY9596,NOD/SCID;,LY9596,LY,76.17
AL5564-P1-TU-20190611J,1.26,AL5564,NOD/SCID;,AL5564,AL,98.74
BN10369-R1P0-30887,14.18,BN10369,NOD/SCID;,BN10369,BN,85.82
CR14939-R1P3-20190820-32262,20.51,CR14939,NOD/SCID;,CR14939,CR,79.49
AL5564-P3-34700-SP-20191112,26.26,AL5564,NOD/SCID;,AL5564,AL,73.74
CR15788-R1P3-89782,30.81,CR15788,NOD/SCID;,CR15788,CR,69.19
AL5564-P1-SP-20190604D-19R44082,20.02,AL5564,NOD/SCID;,AL5564,AL,79.98
AL5564-P1-TU-20190604D-19R44081,4,AL5564,NOD/SCID;,AL5564,AL,96
KI11421-R1P2-20200615-45391,45.58,KI11421,NOD/SCID;,KI11421,KI,54.42
AL5564-P4-LI-20200507A-2020-6-30,15.09,AL5564,NOD/SCID;,AL5564,AL,84.91
BR9225-R1P3-20180427-10860-20200929,16.79,BR9225,NOD/SCID;,BR9225,BR,83.21
PA9449-R1P2-20180315-48158-20200929,60.13,PA9449,NOD/SCID;,PA9449,PA,39.87
BR10608-R1P0-98159-20200825,45.46,BR10608,NOD/SCID;,BR10608,BR,54.54
CV10914-R1P0-20200617-R-45661-20200915,10.6,CV10914,NOD/SCID;,CV10914,CV,89.4
GA2966-R1P0-92338,13.13,GA2966,NOD/SCID;,GA2966,GA,86.87
ES3882-R1P0-22334,16.41,ES3882,NOD/SCID;,ES3882,ES,83.59
SA4223-R1P2-20190616-25555-20200929,42.64,SA4223,NOD/SCID;,SA4223,SA,57.36
CR9512-R1P3-98927-20200818,17.86,CR9512,NOD/SCID;,CR9512,CR,82.14
AL5732-P2-44579-SP-20200630,8.03,AL5732,NOD/SCID;,AL5732,AL,91.97
CR15788-R1P0-21605,19.27,CR15788,NOD/SCID;,CR15788,CR,80.73
ME12078-R2P3-91682,6.09,ME12078,NOD/SCID;,ME12078,ME,93.91
ES3879-R1P6-75910-RF,20.92,ES3879,NOD/SCID;,ES3879,ES,79.08
SA10941-R1P0-85127-RB,11.86,SA10941,NOD/SCID;,SA10941,SA,88.14
ME12078-R2P4-96461,10.45,ME12078,NOD/SCID;,ME12078,ME,89.55
CR9512-R1P5-51395-20201020,9.31,CR9512,NOD/SCID;,CR9512,CR,90.69
SA4261-R1P0-20190611-22148,8.27,SA4261,NOD/SCID;,SA4261,SA,91.73
ME12078-R1P1-20180814-17464-20200818,9.8,ME12078,NOD/SCID;,ME12078,ME,90.2
AL5732-P0-39422-SP-20200119,29.11,AL5732,NOD/SCID;,AL5732,AL,70.89
CV10914-R1P1-20200908-30021-20201020,55.58,CV10914,NOD/SCID;,CV10914,CV,44.42
CR2837-R1P0-67989,10.34,CR2837,NOD/SCID;,CR2837,CR,89.66
SA10941-R2P2-92330,51.76,SA10941,NOD/SCID;,SA10941,SA,48.24
SA4261-R1P0-22146,17.74,SA4261,NOD/SCID;,SA4261,SA,82.26
SA10941-R1P1-87661-RF,42.65,SA10941,NOD/SCID;,SA10941,SA,57.35
SA10941-R1P1-87665,41.21,SA10941,NOD/SCID;,SA10941,SA,58.79
CV16522-R1P1-20200819-10029-20200922,20.54,CV16522,NOD/SCID;,CV16522,CV,79.46
ES3879-R1P0-22319,31.85,ES3879,NOD/SCID;,ES3879,ES,68.15
CR11374-R1P4-20200629-41757-20200901,14.92,CR11374,NOD/SCID;,CR11374,CR,85.08
CR15303-R1P0-20190417-21663,16.98,CR15303,NOD/SCID;,CR15303,CR,83.02
LY9604-R1P3-20200723-12735-2020825,3.54,LY9604,NOD/SCID;,LY9604,LY,96.46
HN9282-R4P5-20200915-30673-20201020,9.17,HN9282,NOD/SCID;,HN9282,HN,90.83
ES3887-R1P1-26232,37.17,ES3887,NOD/SCID;,ES3887,ES,62.83
HN9282-R4P3-20200514-R-47477,12.15,HN9282,NOD/SCID;,HN9282,HN,87.85
ES3879-R1P1-26208,37.55,ES3879,NOD/SCID;,ES3879,ES,62.45
CV15540-R1P0-20191227-R-40244,34.42,CV15540,NOD/SCID;,CV15540,CV,65.58
ES3879-R1P0-22319,28.03,ES3879,NOD/SCID;,ES3879,ES,71.97
LY9604-R1P2-20200702-13278,3.06,LY9604,NOD/SCID;,LY9604,LY,96.94
HN9282-R1P3-12642-RB,5.12,HN9282,NOD/SCID;,HN9282,HN,94.88
CR11374-R1P0-21465,9.25,CR11374,NOD/SCID;,CR11374,CR,90.75
CR9511-R1P4-51041-20201020,40.01,CR9511,NOD/SCID;,CR9511,CR,59.99
CR15303-R1P4-20200325-48428,9.99,CR15303,NOD/SCID;,CR15303,CR,90.01
HN9282-R1P2-20180409-R-49151,20.33,HN9282,NOD/SCID;,HN9282,HN,79.67
SA4040-R1P4-27836-20210202,26.69,SA4040,NOD/SCID;,SA4040,SA,73.31
LY11632-R3P3-54536-20210323-1,44.68,LY11632,NOD/SCID;,LY11632,LY,55.32
CC6702-R6P7-20191019-29517-20210202,71.5,CC6702,NOD/SCID;,CC6702,CC,28.5
HN2594-R1P4-87787-202106015,19.95,HN2594,NOD/SCID;,HN2594,HN,80.05
CR3280-R6P3-52240-20210105,11.44,CR3280,NOD/SCID;,CR3280,CR,88.56
ES2356-P3-764-20210202,36.24,ES2356,NOD/SCID;,ES2356,ES,63.76
BL5001-R2P3-54524-202106015,12.92,BL5001,NOD/SCID;,BL5001,BL,87.08
LU5185-R1P5-20151013-84458-20210202,24.43,LU5185,NOD/SCID;,LU5185,LU,75.57
LU5171-R1P5-20180814-R-14708-20210511,0.47,LU5171,NOD/SCID;,LU5171,LU,99.53
LU5381-R1P2-20181122-R-28536-20210615,27.63,LU5381,NOD/SCID;,LU5381,LU,72.37
LU11575-R2P3-10825-20201208,54.75,LU11575,NOD/SCID;,LU11575,LU,45.25
ES3863-R3P6-18274-20210615,58.62,ES3863,NOD/SCID;,ES3863,ES,41.38
LU6419-R1P5-28724-202106015,24.18,LU6419,NOD/SCID;,LU6419,LU,75.82
HN2586-R1P5-88301-202106015,27.81,HN2586,NOD/SCID;,HN2586,HN,72.19
LI1088-P3-20210413,11.18,LI1088,NOD/SCID;,LI1088,LI,88.82
LI0050-R30P5-28222-20210622,9.02,LI0050,NOD/SCID;,LI0050,LI,90.98
CC6279-R10P7-29899-20210420,64,CC6279,NOD/SCID;,CC6279,CC,36
LI1005-R14P5-20210331-R-28549-20210608,21.3,LI1005,NOD/SCID;,LI1005,LI,78.7
LU5165-R1P3-20181226-R-25668-20210615,12.01,LU5165,NOD/SCID;,LU5165,LU,87.99
LI6692-R6P4-20200805-R-11586-20201208,2.95,LI6692,NOD/SCID;,LI6692,LI,97.05
LU5184-R1P3-20180829-R-14467-20210615,1.01,LU5184,NOD/SCID;,LU5184,LU,98.99
PA6468-R2P11-75769-RF-20210202,44.97,PA6468,NOD/SCID;,PA6468,PA,55.03
HN2574-R1P13-50266-202106015,28.44,HN2574,NOD/SCID;,HN2574,HN,71.56
HN2609-R1P2-85853-202106015,18.71,HN2609,NOD/SCID;,HN2609,HN,81.29
SA4040-R4P5-52387-52389-20201208,21.78,SA4040,NOD/SCID;,SA4040,SA,78.22
PA1194-R12P6-20210428-R-21388-20210706,41.14,PA1194,NOD/SCID;,PA1194,PA,58.86
PA4007-R1P2-20160909-26119-20210615,46.64,PA4007,NOD/SCID;,PA4007,PA,53.36
LY6938-R2P6-99586-20210706,86.62,LY6938,NOD/SCID;,LY6938,LY,13.38
CC6216-R5P5-20190620-22278-20210202,11.49,CC6216,NOD/SCID;,CC6216,CC,88.51
CR0150-R15P3-52231-52235-20201208,31.95,CR0150,NOD/SCID;,CR0150,CR,68.05
LI1005-R14P5-20210331-R-28549-20210608,21.43,LI1005,NOD/SCID;,LI1005,LI,78.57
CC6702-R8P9-30701-20210601,21.96,CC6702,NOD/SCID;,CC6702,CC,78.04
PA0787-R12P7-16784-20210608,44.7,PA0787,NOD/SCID;,PA0787,PA,55.3
LU5173-R1P4-83509-20210413,10.98,LU5173,NOD/SCID;,LU5173,LU,89.02
SA2466-R1P2-87757-20210202,10.63,SA2466,NOD/SCID;,SA2466,SA,89.37
HN2590-R1P4-88297-202106015,17.77,HN2590,NOD/SCID;,HN2590,HN,82.23
SA10181-R2P10-51151-20201013,2.09,SA10181,NOD/SCID;,SA10181,SA,97.91
LI6675-R6P5-16926-20210629,7.34,LI6675,NOD/SCID;,LI6675,LI,92.66
LU5271-R1P2-20181122-28121-20201124,0.93,LU5271,NOD/SCID;,LU5271,LU,99.07
PA5412-R2P7-55794-20210511,59.69,PA5412,NOD/SCID;,PA5412,PA,40.31
CR3079-R8P6-10217-20210601,10.1,CR3079,NOD/SCID;,CR3079,CR,89.9
ES10084-R3P6-20201029-18234-20201229,61.02,ES10084,NOD/SCID;,ES10084,ES,38.98
PA1459-R10P5-54557-20210330,51.02,PA1459,NOD/SCID;,PA1459,PA,48.98
PA0527-R12P4-57306-57308-20210601,54.1,PA0527,NOD/SCID;,PA0527,PA,45.9
ME12113-R1P2-20170427-38535-20201124,2.24,ME12113,NOD/SCID;,ME12113,ME,97.76
OV5296-R1P4-57193-20201201,16.42,OV5296,NOD/SCID;,OV5296,OV,83.58
LY2345-R14P12-53042-20210202,5.05,LY2345,NOD/SCID;,LY2345,LY,94.95
LU5165-R1P3-20181226-R-25668-20210615-Machine,12.3,LU5165,NOD/SCID;,LU5165,LU,87.7
GA6211-R8P6-30775-20201117,2.29,GA6211,NOD/SCID;,GA6211,GA,97.71
ES0110-R31P6-30207-20201208,38.04,ES0110,NOD/SCID;,ES0110,ES,61.96
HN9287-R1P5-16741-20210608,32.96,HN9287,NOD/SCID;,HN9287,HN,67.04
