TestModel,Mouseratio,DuplicateModel,Vendor,TestModel2,Cancer,TumorPurity
ME9376-R1P4-20190325-26148-20210323,13.13,ME9376,NOD/SCID;,ME9376,ME,86.87
OV9403-R2P5-20200721-12568-20200915,27.59,OV9403,NOD/SCID;,OV9403,OV,72.41
GS11331-P1-111-126-52,14.54,GS11331,NOD/SCID;,GS11331,GS,85.46
ES0172-R20P7-23493,14.51,ES0172,NOD/SCID;,ES0172,ES,85.49
PA9448-R2P4-20200730-12185-20200908,31.3,PA9448,NOD/SCID;,PA9448,PA,68.7
CV10928-R1P1-20201112-19522-20210427,4.42,CV10928,NOD/SCID;,CV10928,CV,95.58
GL2861-R1P1-75304-20201208,69.13,GL2861,NOD/SCID;,GL2861,GL,30.87
LY12962-R2P2-97462-20200811,7.21,LY12962,NOD/SCID;,LY12962,LY,92.79
CV10072-R1P3-98721-20201020,14.87,CV10072,NOD/SCID;,CV10072,CV,85.13
SA3224-R10P2-12886-20210601,35.21,SA3224,NOD/SCID;,SA3224,SA,64.79
ES3866-R1P1-20160721-24417-20201208,29.58,ES3866,NOD/SCID;,ES3866,ES,70.42
CR2845-R2P3-54972-20210407,9.47,CR2845,NOD/SCID;,CR2845,CR,90.53
PA9448-R2P3-20200616-R-46553,34.9,PA9448,NOD/SCID;,PA9448,PA,65.1
LY12962-R1P1-82414,9.43,LY12962,NOD/SCID;,LY12962,LY,90.57
LI2979-R1P3-55839-20210601,29.22,LI2979,NOD/SCID;,LI2979,LI,70.78
PA9448-R1P2-20180315-R-48169,29.22,PA9448,NOD/SCID;,PA9448,PA,70.78
BR9229-R3P3-20200514-R-41284-20200908,15.03,BR9229,NOD/SCID;,BR9229,BR,84.97
ME9376-R1P4-20190305-26150-20210323,10.93,ME9376,NOD/SCID;,ME9376,ME,89.07
CV10069-R1P1-20190918-39333,21.18,CV10069,NOD/SCID;,CV10069,CV,78.82
LI6681-R1P3-20141104-61276-20201124,20.87,LI6681,NOD/SCID;,LI6681,LI,79.13
GA13718-R1P0-77624-RF,21.94,GA13718,NOD/SCID;,GA13718,GA,78.06
ME12047-R1P2-20170302-32886-20201124,12.39,ME12047,NOD/SCID;,ME12047,ME,87.61
OV1396-R8P3-10741-20201208,15.65,OV1396,NOD/SCID;,OV1396,OV,84.35
KI10106-R1P6-39086,48.57,KI10106,NOD/SCID;,KI10106,KI,51.43
BR10014-R1P3-79375-RB,7.93,BR10014,NOD/SCID;,BR10014,BR,92.07
CR9249-R1P3-20180409-R-49166,35.02,CR9249,NOD/SCID;,CR9249,CR,64.98
PE16647-R1P4-53685-20210223,21.78,PE16647,NOD/SCID;,PE16647,PE,78.22
OV15919-R1P6-51175-20201110,11.04,OV15919,NOD/SCID;,OV15919,OV,88.96
UT5326-R1P6-20200310-49560,33.17,UT5326,NOD/SCID;,UT5326,UT,66.83
LU11586-R2P4-53451-20201222,29.32,LU11586,NOD/SCID;,LU11586,LU,70.68
GA13797-R1P2-20190926-33829-20200901,4.24,GA13797,NOD/SCID;,GA13797,GA,95.76
SA4235-R3P1-20200427-R-44056,23.56,SA4235,NOD/SCID;,SA4235,SA,76.44
CV1802-R8P7-32004,32.21,CV1802,NOD/SCID;,CV1802,CV,67.79
CC2869-R2P3-54960-20210302,18.78,CC2869,NOD/SCID;,CC2869,CC,81.22
LI4100-R1P0-1200,10.14,LI4100,NOD/SCID;,LI4100,LI,89.86
LI6666-R8P6-20200715-R-12844-20201222,21.5,LI6666,NOD/SCID;,LI6666,LI,78.5
ME12165-R1P5-70587-RF,8.35,ME12165,NOD/SCID;,ME12165,ME,91.65
BN10425-R1P0-20180802-14176,45.27,BN10425,NOD/SCID;,BN10425,BN,54.73
GA6869-R4P7-50351-20200929,8.58,GA6869,NOD/SCID;,GA6869,GA,91.42
ES3901-R1P3-20170905-40810-20210608,21.97,ES3901,NOD/SCID;,ES3901,ES,78.03
CR9508-R1P4-20200714-98729-20201229,6.19,CR9508,NOD/SCID;,CR9508,CR,93.81
PE16925-R1P0-94470,68.2,PE16925,NOD/SCID;,PE16925,PE,31.8
LU6437-R1P3-34214-202106015,9.26,LU6437,NOD/SCID;,LU6437,LU,90.74
LU11553-R2P4-90572,21.14,LU11553,NOD/SCID;,LU11553,LU,78.86
CR5100-R1P3-20181226-25335-20210223,10.86,CR5100,NOD/SCID;,CR5100,CR,89.14
SA13302-R1P0-78670-RF,10.99,SA13302,NOD/SCID;,SA13302,SA,89.01
SA4262-R1P0-20190618-22653,17.76,SA4262,NOD/SCID;,SA4262,SA,82.24
AL5593-P0-42549-BM-20210316,30.99,AL5593,NOD/SCID;,AL5593,AL,69.01
CR15724-R1P2-34255-LF,16.68,CR15724,NOD/SCID;,CR15724,CR,83.32
CR15724-R1P0-21644-RF,19.12,CR15724,NOD/SCID;,CR15724,CR,80.88
CR15035-R2P5-96841-20210223,12.05,CR15035,NOD/SCID;,CR15035,CR,87.95
CV3707-R1P1-20150701-67623-20201124,18.36,CV3707,NOD/SCID;,CV3707,CV,81.64
ME12116-R2P4-20201022-18629-20210105,5.48,ME12116,NOD/SCID;,ME12116,ME,94.52
LU11894-R3P3-20121-20210629,13.79,LU11894,NOD/SCID;,LU11894,LU,86.21
BN10354-R2P4-96069,14.57,BN10354,NOD/SCID;,BN10354,BN,85.43
ME9518-R1P1-53168-20210713,10.24,ME9518,NOD/SCID;,ME9518,ME,89.76
ES3895-R1P1-27221,2.64,ES3895,NOD/SCID;,ES3895,ES,97.36
ES3895-R1P0-24216,4.46,ES3895,NOD/SCID;,ES3895,ES,95.54
FT11143-R1P1-53776-20210309,31.38,FT11143,NOD/SCID;,FT11143,FT,68.62
CV10923-R1P1-98747-20201013,60.25,CV10923,NOD/SCID;,CV10923,CV,39.75
GA6869-R4P7-50354,9.67,GA6869,NOD/SCID;,GA6869,GA,90.33
HN5113-R1P2-20190710-R-23083-20210413,9.65,HN5113,NOD/SCID;,HN5113,HN,90.35
GA15645-R1P2-87186,52.6,GA15645,NOD/SCID;,GA15645,GA,47.4
ME9372-R3P3-20210317-R-22408-20210511,4.65,ME9372,NOD/SCID;,ME9372,ME,95.35
FT11219-R1P0-20191227-40233-20201103,7.74,FT11219,NOD/SCID;,FT11219,FT,92.26
GL11312-R1P3-20200707-13049-20200915,57.07,GL11312,NOD/SCID;,GL11312,GL,42.93
SA16052-R2P4-9629,39.23,SA16052,NOD/SCID;,SA16052,SA,60.77
LU5251-R1P5-20181120-83807-20210208,38.3,LU5251,NOD/SCID;,LU5251,LU,61.7
LU11548-R1P1-20180815-R-17686,17.71,LU11548,NOD/SCID;,LU11548,LU,82.29
LU0350-R23P4-65342,60.67,LU0350,NOD/SCID;,LU0350,LU,39.33
