NAME	Cancer	StromalScore	ImmuneScore	ESTIMATEScore
LU5208P1	NSCLC	-745.2115111	371.6175039	-373.5940072
LU11612P1	NSCLC	-1851.809781	-529.7442896	-2381.554071
LU6911P8	NSCLC	-1416.172042	-466.33795	-1882.509992
LU5369P1	NSCLC	-1708.823497	-1561.338202	-3270.161699
LU5350P0	NSCLC	-1253.394088	-828.4193817	-2081.813469
LU5401P0	NSCLC	-271.3267634	382.2958137	110.9690503
LU11614P0	NSCLC	-269.0106093	350.8068389	81.79622957
LU11760P4	NSCLC	136.2897178	196.1409136	332.4306314
LU5187P1	NSCLC	-482.4134729	219.3920485	-263.0214244
LU5371P0	NSCLC	-618.3910208	-237.2266777	-855.6176984
LU11717P3	NSCLC	-1527.44542	-541.9923397	-2069.43776
LU5409P1	NSCLC	-1815.366129	-1294.412817	-3109.778946
LU5406P0	NSCLC	-420.268338	1124.166776	703.8984383
LU11784P0	NSCLC	-252.5906973	381.4518497	128.8611524
LU5172P1	NSCLC	-1469.544271	-15.0298028	-1484.574073
LU9339P4	NSCLC	-1433.851505	-1132.244828	-2566.096333
LU5381P2	NSCLC	-1187.194482	416.1695023	-771.0249793
LU6905P7	NSCLC	-561.9912337	16.78310931	-545.2081244
LU5245P3	NSCLC	-432.3961268	253.3210964	-179.0750304
LU11786P1	NSCLC	-534.6400101	927.1357941	392.495784
LU11681P1	NSCLC	-830.8801254	-632.7312939	-1463.611419
LU11796P0	NSCLC	-488.926793	721.7378253	232.8110322
LU11736P0	NSCLC	-36.14346533	90.93236289	54.78889756
LU2537P7	NSCLC	-1126.817125	-430.2537387	-1557.070864
LU11885P0	NSCLC	-1385.958673	-1627.575654	-3013.534327
LU11568P0	NSCLC	-1539.361678	-562.1586695	-2101.520347
LU11586P0	NSCLC	-162.0056851	1722.583328	1560.577643
LU11949P1	NSCLC	-457.5306971	-58.02551023	-515.5562073
LU11624P0	NSCLC	-384.4356927	300.4542361	-83.98145659
LU5349P0	NSCLC	-222.3790421	575.4249673	353.0459252
LU11554P0	NSCLC	-578.3083254	-424.4974509	-1002.805776
LU11607P0	NSCLC	-157.0184334	235.2938647	78.27543136
LU5262P1	NSCLC	-1723.162636	-1131.456922	-2854.619558
LU9335P4	NSCLC	-422.1937914	-147.5994	-569.7931914
LU6418P3	NSCLC	-450.1876087	-1125.291229	-1575.478837
LU11622P1	NSCLC	-1933.21817	-824.7870301	-2758.0052
LU11870P0	NSCLC	-1331.114324	-769.2885208	-2100.402845
LU5212P1	NSCLC	336.9359603	395.4793154	732.4152757
LU13956P0	NSCLC	-1150.722106	-860.9651498	-2011.687256
LU11692P0	NSCLC	-1152.72416	-112.992897	-1265.717057
LU11873P0	NSCLC	378.6476559	593.0081256	971.6557815
LU5213P2	NSCLC	-1476.220133	-804.8837274	-2281.10386
LU5191P1	NSCLC	-1055.906306	79.48746049	-976.4188454
LU5200P1	NSCLC	-955.0684085	-5.474198355	-960.5426069
LU5408P0	NSCLC	-1076.217583	-921.3312066	-1997.548789
LU6903P6	NSCLC	-301.7732008	966.1853854	664.4121847
LU5230P1	NSCLC	-1220.062047	447.6934452	-772.3686023
LU13953P0	NSCLC	-1538.250468	-1065.453075	-2603.703543
LU5174P1	NSCLC	-618.0354178	342.8167952	-275.2186226
LU11818P3	NSCLC	-1023.173732	-277.3903689	-1300.564101
LU5209P1	NSCLC	-344.3547449	-255.4223489	-599.7770937
LU11894P0	NSCLC	-1017.650972	-304.16155	-1321.812522
LU11584P5	NSCLC	-1464.785156	-560.6111922	-2025.396349
LU11634P0	NSCLC	175.3992341	154.5540007	329.9532349
LU6908P7	NSCLC	-1121.427031	-290.573737	-1412.000768
